x,M,sum_p,pnt_approx,claimed_bound
1000,168,76127,72382.41365054197,370510.65683967795
10000,1229,5736396,5428681.023790647,38220479.6501902
100000,9592,454396537,434294481.9032518,3867251534.4771824
1000000,78498,37550402023,36191206825.27099,391380212896.6465
10000000,664579,3203324994356,3102103442166.0845,39693606288004.51
